CommentID,Comment,LikeCount
UgyG2nYTJsB-IrQ8B914AaABAg,"Meanwhile Einstein, Sir  Issact  Newtons , Maxwell,  Dirac, Fermi , Shrodinger, Plank laughing in the corner.",0
UgzdNLZi7TT7Et7HKkh4AaABAg,If he is such a genius why isnt ge tackling medical issues like schizophrenia thats a big one right there cure that you might aswell call yourself god,0
Ugyy6POF6Z2_tB53_Hh4AaABAg,"<a href=""https://www.youtube.com/watch?v=ok74PdU1MiQ&amp;t=18"">0:18</a>, think and solve problems like us. Please don&#39;t solve me :( I dont want to die",0
UgwtbcnqgNmfZ46Q8Qp4AaABAg,Vy vidíte pokroky v AI já tedy ne možná asi od toho chci více než ostatní. Za mě je současná AI naprosto blboučká užvaněná prolhaná krabička na vymýšlení nesmyslných odpovědí. Takový generátor balastních keců je současná AI.,0
Ugy-APXBnkz_qKW1ZnV4AaABAg,Is this video just an ad? It’s chock full of exaggeration.,0
UgxZ4jsG00vlQvaeW8N4AaABAg,demis is going to make ai accelerate  scientific discovery this man is a noble level genius,1
Ugx1xCskhMJlsHtBUkp4AaABAg,He was born a Prodigy therefore being Destined to become Great &amp; a Trendsetter,0
UgyK7NFcTnkbIEVodcR4AaABAg,Deepmimd isn&#39;t genius...it&#39;s a hack...it&#39;s total sploitware from inception...it has every single combination of scenarios stored on its drive...it can just lead you to annihilation perfectly every single time...I&#39;m a programmer...trust me it&#39;s not difficult...<br>.,0
Ugw3h_W2eyegCzM6wkR4AaABAg,"Oh no, this narrator again. How many channels does he have?",0
Ugya1f_E_uCjCnfkDv14AaABAg,AI will make most of us beggars living on universal income. So sad to see the day approaching. God save us.,0
UgyFHUaH0DwGWgstMgB4AaABAg,"I HATE AI and think it is the most dangerous thing ever invented. But if it runs Microsoft out of business, it would serve one useful purpose before it destroys us.",0
UgxMlbK4rArJi1ro4qN4AaABAg,I like🎉,1
Ugy76yDkQsEVNHj_QeV4AaABAg,"You need more than AI to pioneer break throughs .A more important component is using a quantum computer to create the checks a balances because AI has flaws in that it can easily go off track when left to it’s own devices. Everyone loves to paint a scenario of AI taking over or rebelling against humans. The real problem is whether it will get into the wrong hands, where its used to mislead people into making assumptions based on misinformation.",0
Ugxpw9epHcnoxVwHgLR4AaABAg,"It&#39;s still a program, it still needs to be fed massive amount of data <br>It is a high end probability machine<br>Without it is an anchor <br>It doesn&#39;t know right for wrong<br>And is not human<br>One big problem is his bf is a Progressive",0
UgyergJZ_Uc6kdLbY1t4AaABAg,🐬Background &amp; research!🐬AGI &amp; ASI🐬Attention (to details)!,1
UgybNsD4BwR-uWa4c3N4AaABAg,I&#39;ve heard this one before...,0
UgxozrR07WPQRIOecbV4AaABAg,Tell him you can remote view by writing an AI story,0
UgwRrkHiJHmLfe_5O7x4AaABAg,Time I.S. the total Mind of God.,0
